迅鯨,甲S E2-M(Boss1),2.45
迅鯨,乙S E2-M(Boss1),1.80
迅鯨,丙S E2-M(Boss1),1.17
迅鯨,丁S E2-M(Boss1),0.5

第四号海防艦,甲S E4-Z3(Boss3),3.90
第四号海防艦,乙S E4-Z3(Boss3),3.07
第四号海防艦,丙S E4-Z3(Boss3),1.66
第四号海防艦,丁S E4-Z3(Boss3),1.65
第四号海防艦,甲S E4-R(Boss2),0.88
第四号海防艦,乙S E4-R(Boss2),0.73

Ташкент,甲S E1-T(Boss2),3.50
Ташкент,乙S E1-T(Boss2),3.08
Ташкент,丙S E1-T(Boss2),2.92
Ташкент,丁S E1-T(Boss2),1.95

伊14,甲S E3-O(Boss),4.15
伊14,乙S E3-O(Boss),3.24
伊14,丙S E3-O(Boss),3.29
伊14,丁S E3-O(Boss),3.88

Johnston,甲S E4-Z3(Boss3),1.30
Johnston,乙S E4-Z3(Boss3),1.19
Johnston,丙S E4-Z3(Boss3),1.89
Johnston,丁S E4-Z3(Boss3),2.07
Johnston,甲S E4-R(Boss2),0.45
Johnston,乙S E4-R(Boss2),0.63

Helena,甲S E5-Z(Boss2),2.92
Helena,乙S E5-Z(Boss2),2.59
Helena,丙S E5-Z(Boss2),1.73
Helena,丁S E5-Z(Boss2),1.52

有明,甲S E5-Z(Boss2),3.47
有明,乙S E5-Z(Boss2),3.33
有明,丙S E5-Z(Boss2),3.25
有明,丁S E5-Z(Boss2),2.24

日進,甲S E6-X(Boss1),1.11
日進,甲S E6-Z(Boss2),1.98
日進,丙S E6-Z(Boss2),1.35

屋代,甲S E7-Z(Boss3),3.36
屋代,甲A E7-Z(Boss3),1.762
屋代,丁S E7-Z(Boss3),2.37

Graf_Zeppelin,甲S E7-Z(Boss3),3.36
Graf_Zeppelin,甲A E7-Z(Boss3),1.41
Graf_Zeppelin,丁S E7-Z(Boss3),2.17
